tensor(3.3833, grad_fn=<HuberLossBackward0>)
tensor(5.4837, grad_fn=<HuberLossBackward0>)
tensor(5.1268, grad_fn=<HuberLossBackward0>)
tensor(5.7842, grad_fn=<HuberLossBackward0>)
tensor(23.9512, grad_fn=<HuberLossBackward0>)
tensor(5.3422, grad_fn=<HuberLossBackward0>)
tensor(5.8393, grad_fn=<HuberLossBackward0>)
tensor(10.2026, grad_fn=<HuberLossBackward0>)
tensor(4.4706, grad_fn=<HuberLossBackward0>)
tensor(4.9300, grad_fn=<HuberLossBackward0>)
tensor(5.2051, grad_fn=<HuberLossBackward0>)
tensor(3.8567, grad_fn=<HuberLossBackward0>)
tensor(6.6977, grad_fn=<HuberLossBackward0>)
tensor(6.4577, grad_fn=<HuberLossBackward0>)
tensor(6.8570, grad_fn=<HuberLossBackward0>)
tensor(5.2330, grad_fn=<HuberLossBackward0>)
tensor(3.8927, grad_fn=<HuberLossBackward0>)
tensor(4.7347, grad_fn=<HuberLossBackward0>)
tensor(4.3637, grad_fn=<HuberLossBackward0>)
tensor(4.3509, grad_fn=<HuberLossBackward0>)
tensor(3.9807, grad_fn=<HuberLossBackward0>)
tensor(3.5006, grad_fn=<HuberLossBackward0>)
tensor(3.3340, grad_fn=<HuberLossBackward0>)
tensor(7.6584, grad_fn=<HuberLossBackward0>)
tensor(5.4162, grad_fn=<HuberLossBackward0>)
tensor(6.2651, grad_fn=<HuberLossBackward0>)
tensor(4.3942, grad_fn=<HuberLossBackward0>)
tensor(8.9164, grad_fn=<HuberLossBackward0>)
tensor(4.7782, grad_fn=<HuberLossBackward0>)
tensor(5.3919, grad_fn=<HuberLossBackward0>)
tensor(4.2503, grad_fn=<HuberLossBackward0>)
tensor(28.8845, grad_fn=<HuberLossBackward0>)
tensor(6.9131, grad_fn=<HuberLossBackward0>)
tensor(4.6371, grad_fn=<HuberLossBackward0>)
tensor(25.7448, grad_fn=<HuberLossBackward0>)
tensor(27.5494, grad_fn=<HuberLossBackward0>)
tensor(6.1729, grad_fn=<HuberLossBackward0>)
tensor(9.8806, grad_fn=<HuberLossBackward0>)
